City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,urangan,-25.3,152.9,24.03,85,100,6.87,AU,1734203602
1,thompson,55.7435,-97.8558,-11.91,85,100,0.0,CA,1734203603
2,arta,39.1606,20.9853,13.27,94,100,2.42,GR,1734203320
3,mitu,1.1983,-70.1733,32.02,48,17,1.57,CO,1734203512
4,lihue,21.9789,-159.3672,24.77,78,75,7.72,US,1734203606
5,ancud,-41.8697,-73.8203,16.73,62,0,3.18,CL,1734203607
6,vadso,70.0744,29.7487,-10.91,85,20,6.17,NO,1734203608
7,punta arenas,-53.15,-70.9167,14.06,47,75,8.23,CL,1734203329
8,olonkinbyen,70.9221,-8.7187,-3.72,71,100,5.27,SJ,1734203610
9,adamstown,-25.066,-130.1015,23.47,80,5,6.89,PN,1734203611
10,miches,18.9836,-69.0476,25.82,84,30,2.48,DO,1734203612
11,enewetak,11.3474,162.3373,28.03,77,95,9.57,MH,1734203613
12,lerwick,60.1545,-1.1494,6.35,90,100,5.87,GB,1734203614
13,puerto natales,-51.7236,-72.4875,16.25,41,40,13.89,CL,1734203615
14,edinburgh of the seven seas,-37.0676,-12.3116,12.88,61,49,4.9,SH,1734203616
15,iskateley,67.6803,53.1512,-20.03,88,92,2.93,RU,1734203617
16,bethel,41.3712,-73.414,1.23,48,0,0.89,US,1734203618
17,ribeira grande,38.5167,-28.7,17.1,63,20,12.07,PT,1734203619
18,nalagarh,31.05,76.7167,11.8,21,0,1.49,IN,1734203620
19,udachny,66.4167,112.4,-35.35,100,47,1.85,RU,1734203621
20,zhanaozen,43.3,52.8,-4.58,84,68,4.74,KZ,1734203623
21,ivdel',60.6911,60.4206,-14.68,99,95,0.7,RU,1734203402
22,grytviken,-54.2811,-36.5092,5.99,65,96,1.95,GS,1734203625
23,mar del plata,-38.0023,-57.5575,16.64,87,0,4.92,AR,1734203555
24,tiksi,71.6872,128.8694,-18.11,99,100,2.81,RU,1734203580
25,utrik,11.2278,169.8474,27.54,79,18,10.31,MH,1734203628
26,college,64.8569,-147.8028,-20.03,54,20,5.14,US,1734203629
27,papao,-17.75,-149.55,22.82,79,100,12.18,PF,1734203630
28,invercargill,-46.4,168.35,12.79,82,100,1.79,NZ,1734203631
